codeType;txtName;codeLgt;txtDescrMarking;geoLat;geoLong;valElev;valGeoAccuracy;valHgt;codeHgtAccuracy;uomDistVer;valRadius;valRadiusAccuracy;uomRadius;codeGroupId;txtGroupName;locGroupMemberId;locLinkedToGroupMemberId;codeLinkType;datetimeValidWef;datetimeValidTil;txtRmk;source;defaultHeightFlag;codeMarking
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8322222222222;17.0463888888889;308;0;186;0;M;0;0;M;107;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8486111111111;17.0094444444444;310;0;186;0;M;0;0;M;108;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.845;17.0144444444444;308;0;186;0;M;0;0;M;109;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8422222222222;17.02;309;0;186;0;M;0;0;M;110;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8388888888889;17.0269444444444;308;0;186;0;M;0;0;M;111;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8363888888889;17.035;308;0;186;0;M;0;0;M;112;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8322222222222;17.0363888888889;307;0;186;0;M;0;0;M;113;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8286111111111;17.0372222222222;306;0;186;0;M;0;0;M;114;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8483333333333;16.9980555555556;309;0;186;0;M;0;0;M;115;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8461111111111;17.0055555555556;308;0;186;0;M;0;0;M;116;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
